"","def_w1","def_w2","econ_w1","econ_w2","soc_w1","soc_w2","EG1_BINDING_SHORT","EG2_BINDING_SHORT","authority1","authority2","loyalty1","loyalty2","purity1","purity2","EG1_IND_SHORT","EG2_IND_SHORT","fairness1","fairness2","harm1","harm2","AGE","Q50","sex_num","Q17_02","Q17_06","Q17_09","Q17_15","Q17_18","Q17_23","Q17_24","Q17_04","Q17_21","Q17_26","Q17_12","Q17_28","Q17_30","RETEST_Q17_02","RETEST_Q17_06","RETEST_Q17_09","RETEST_Q17_15","RETEST_Q17_18","RETEST_Q17_23","RETEST_Q17_24","RETEST_Q17_04","RETEST_Q17_21","RETEST_Q17_26","RETEST_Q17_12","RETEST_Q17_28","RETEST_Q17_30"
"1681",2,2.33333333333333,1.4,1.6,1.28571428571429,1.28571428571429,3.66666666666667,3.16666666666667,4,3,3.5,3.5,3.5,3,2.75,3.75,3.5,3.5,2,4,29,3,1,1,2,1,1,1,1,2,1,3,1,2,3,1,1,1,1,1,1,2,2,1,3,1,2,2,3
"1682",2,NA,1.2,NA,1.28571428571429,NA,3.66666666666667,NA,3,NA,3.5,NA,4.5,NA,4.25,NA,4,NA,4.5,NA,29,3,0,1,1,1,1,1,2,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1683",1.66666666666667,NA,1,NA,1.71428571428571,NA,2.66666666666667,NA,3,NA,3.5,NA,1.5,NA,4,NA,3,NA,5,NA,24,3,1,3,3,1,1,1,1,2,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1684",NA,1.66666666666667,NA,1.2,NA,1.42857142857143,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,1,1,2,1,1,3,1
"1685",1.33333333333333,1.66666666666667,1.2,1.2,1.14285714285714,1,3.16666666666667,3.16666666666667,4,3.5,3,2.5,2.5,3.5,4.25,4,3.5,4,5,4,27,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"1686",1.33333333333333,1.66666666666667,1,1.2,1.57142857142857,1.42857142857143,3.33333333333333,1.66666666666667,3.5,1.5,3,2,3.5,1.5,4.5,4.5,4.5,4.5,4.5,4.5,27,5,0,3,3,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,3,1
"1687",1.66666666666667,1.66666666666667,1.8,1.8,1.71428571428571,1.28571428571429,2.33333333333333,2.66666666666667,2,3,2,3.5,3,1.5,3,2,3,1.5,3,2.5,27,3,1,3,3,2,1,1,1,1,3,3,1,1,3,1,1,2,1,1,1,2,1,2,3,1,1,3,1
"1688",1.66666666666667,2,1,1,1.71428571428571,1.71428571428571,3.5,0,3.5,0,3,0,4,0,3.75,0.25,3.5,0,4,0.5,27,2,0,2,3,1,1,1,2,2,1,1,1,1,2,2,2,3,1,2,1,2,1,1,1,1,2,2,2
"1689",2.66666666666667,1.33333333333333,1.2,1.2,2,1.71428571428571,4,3.5,4,3.5,4,3.5,4,3.5,4,3.5,4,4,4,3,28,5,1,3,3,2,1,1,1,3,1,1,2,3,2,3,1,3,3,1,1,1,2,1,1,2,1,1,2
"1690",2,3,1,1,1.42857142857143,1.57142857142857,4.16666666666667,2.66666666666667,4,2.5,4.5,3,4,2.5,3.75,3,3.5,3,4,3,28,2,0,3,1,1,1,1,1,2,1,1,1,2,3,1,3,3,1,1,1,1,1,1,1,1,3,3,3
